SubjectID	Day_Period	Aerococcus	Anaerococcus	Ureaplasma	Parvimonas	L. iners	Finegoldia	Staphylococcus	Porphyromonas	Atopobium	Gardnerella	L. crispatus	Peptostreptococcus	Sneathia	Streptococcus	Prevotella	Peptoniphilus	Incertae_Sedis_XI.1	L. gasseri	Corynebacterium	Dialister	L.otu5	L.otu3	Ruminococcaceae.3
1.1	0	0	0.001459041	0	0.0076047	0.722573457	0.000636686	0	0.000453871	0.013985155	0	0.003533073	0.000426434	0.002861872	4.00E-05	0.019267877	0.005126133	0	0	0.001140729	0.000682663	0.00443637	0.000480699	0.036703876
1.1	3	0	0.00243038	0	0.013068493	0.438874951	0.001012721	0	0.000695823	0	0	0.011585407	0.000662099	0.105196463	9.38E-05	0.034495392	0.008504094	4.86E-05	0	0.002386206	0.001738276	0.006719195	0.000760116	0.050668164
1.1	6	0.000390993	0.0017473	0	0.009689418	0	0.000688862	0	0.000453089	0.584085382	0.002947036	0.012418691	0.000444613	0.077071814	8.71E-05	0.026357307	0.00608194	7.34E-05	0	0.002086182	0.001675773	0.004336955	0.000514791	0.029860852
1.1	9	0.001586125	0.001276321	0.000660403	0.007290386	0	0.000471641	3.79E-05	0.000294359	0.714109822	0.006644563	0.011963048	0.000305148	0.029225462	7.78E-05	0.020223007	0.004413712	8.06E-05	2.63E-06	0.001804357	0.001521105	0.002809942	0.000351468	0.017958463
1.1	12	0.003237545	0.001472142	0.001650897	0.008643844	0	0.000505408	9.24E-05	0.000295918	0.688663856	0.012658429	0.016910373	0.000334152	0.007934516	0.000105198	0.024205083	0.005051181	0.000121914	7.40E-06	0.002407565	0.002068642	0.002846275	0.000376078	0.017614912
1.1	15	0.004654601	0.001521205	0.002548802	0.009155002	0.217207559	0.000481581	0.000142728	0.00026067	0.427426736	0.017874343	0.020340236	0.000332692	0.034134176	0.000123345	0.02563452	0.005172116	0.000152556	1.12E-05	0.002817958	0.002420549	0.002568662	0.000358127	0.016604739
1.1	18	0.005072806	0.00133692	0.002887493	0.008217223	0.451499939	0.00038833	0.000162866	0.000190733	0.215099384	0.019453754	0.019994375	0.000286886	0.042064423	0.000119591	0.022805616	0.004498838	0.000153799	1.20E-05	0.002751297	0.00232997	0.001975622	0.000288577	0.01471521
1.1	21	0.005154345	0.001176905	0.003010403	0.007357149	0.619214164	0.000313267	0.000171606	0.000136444	0.115441882	0.019901115	0.019049082	0.000252701	0	0.000113319	0.020079513	0.003915579	0.000149095	1.17E-05	0.002642626	0.0021829	0.001542004	0.000232254	0.014425187
1.1	24	0.005108377	0.001063922	0.003041432	0.006734179	0.688027758	0.000260504	0.000175654	9.79E-05	0.064599147	0.019960388	0.018117896	0.000232882	0	0.00010788	0.017951418	0.003496708	0.000143666	1.07E-05	0.00256351	0.002047519	0.00126912	0.000191956	0.015544028
1.1	27	0.005698943	0.001126946	0.003445657	0.007189551	0.718321946	0.000256332	0.000202067	8.08E-05	0.013913914	0.022623078	0.019697962	0.000255417	0	0.000118012	0.018615137	0.003656666	0.000157923	1.08E-05	0.002869752	0.002199806	0.001272884	0.000186507	0.020222264
1.2	0	0.006045057	0.001183866	0.00367148	0.007565004	0.70477486	0.000263606	0.000216519	7.79E-05	0	0.024142288	0.02076946	0.00027219	0.012722772	0.000124816	0.019378547	0.003824626	0.000167102	1.09E-05	0.0030612	0.002311123	0.001326599	0.00019062	0.022783419
1.2	3	0.003866509	0.00075033	0.002376957	0.004804399	0.267504662	0.000158756	0.000142782	3.81E-05	0	0.015757617	0.013129599	0.000181124	0.553131326	7.99E-05	0.011890975	0.002392114	0.0001068	5.97E-06	0.002014024	0.001446529	0.000847584	0.000111887	0.017717621
1.2	6	0.005178845	0.00102266	0.003216405	0.006535234	0.055182159	0.000210335	0.000197317	4.09E-05	0.122802274	0.021605923	0.017517263	0.000260503	0.582046945	0.000108312	0.015594497	0.003217104	0.000144313	6.43E-06	0.002816627	0.001912883	0.001216691	0.00014272	0.029165248
1.2	9	0.008332091	0.001713424	0.00521828	0.010889394	0	0.000351305	0.000327941	5.70E-05	0.609859434	0.035699678	0.028254127	0.000461111	0	0.000178298	0.025039693	0.005319005	0.00023651	7.43E-06	0.004794177	0.003060838	0.002220484	0.000226582	0.057840678
1.2	12	0.008271536	0.001807952	0.005213044	0.011392717	0.201091038	0.000378837	0.000336834	5.48E-05	0.373611485	0.036520792	0.028275638	0.000513083	0	0.000182865	0.025275632	0.00553927	0.000241672	4.07E-06	0.005096131	0.003041277	0.002607371	0.000229537	0.070763631
1.2	15	0.003711643	0.000878195	0.002347777	0.005473377	0.549111698	0.000192281	0.000156661	2.69E-05	0.147019711	0.016948652	0.012853706	0.000261787	0.067212267	8.56E-05	0.01175126	0.002656071	0.000112929	1.34E-07	0.0024766	0.001373719	0.001424515	0.000108413	0.03908641
1.2	18	0.004390394	0.001143157	0.002777222	0.007032917	0.315571684	0.000266296	0.000192433	3.87E-05	0.291138421	0.020814435	0.015471591	0.000356078	0.040598085	0.000106498	0.014682325	0.003413598	0.00014096	0	0.003207714	0.00164436	0.00209164	0.000138789	0.056852263
1.2	21	0.00497005	0.001445504	0.00312777	0.008764972	0	0.000363116	0.000226612	5.73E-05	0.528660665	0.024562932	0.017893599	0.000467667	0	0.000128009	0.017908737	0.004262143	0.000170957	0	0.004018814	0.001893142	0.002977358	0.000174224	0.079099137
1.2	24	0.004439026	0.00146163	0.002758051	0.008725164	0	0.000399644	0.000210832	6.92E-05	0.536990661	0.022964736	0.016383662	0.00048805	0	0.000122485	0.017590054	0.004255444	0.000166414	0	0.00401385	0.001727683	0.003373318	0.000176148	0.086830954
1.2	27	0.003331262	0.001256514	0.002019886	0.007378169	0.454307616	0.000376177	0.000164872	7.13E-05	0.158497918	0.018110555	0.012635561	0.000430194	0.026102291	9.93E-05	0.014817194	0.003611667	0.000138706	0	0.003401177	0.001330258	0.003230561	0.000152163	0.080103393
1.3	0	0.002677963	0.001111966	0.001582556	0.006455896	0.665566956	0.000354374	0.00013614	7.10E-05	0	0.01507564	0.010350731	0.000385695	0.04067948	8.44E-05	0.013008228	0.003168449	0.000120917	0	0.002978975	0.001089845	0.003062024	0.000135327	0.073876185
