SubjectID	Day_Period	Aerococcus	Anaerococcus	Ureaplasma	Parvimonas	L. iners	Finegoldia	Staphylococcus	Porphyromonas	Atopobium	Gardnerella	L. crispatus	Peptostreptococcus	Sneathia	Streptococcus	Prevotella	Peptoniphilus	Incertae_Sedis_XI.1	L. gasseri	Corynebacterium	Dialister	L.otu5	L.otu3	Ruminococcaceae.3
1.1	0	4.06E-05	0.001946433	0	0.010729823	0.041896541	0.000776263	0	0.000515256	0.493338144	0.001938111	0.012953507	0.000501744	0.09023194	9.28E-05	0.029041175	0.006782664	7.35E-05	0	0.002242033	0.001775512	0.004938623	0.000580528	0.034587442
1.1	5	0.000697924	0.001527967	4.35E-05	0.008530932	0	0.00059416	5.27E-06	0.000386542	0.639186946	0.003795249	0.011652854	0.000383132	0.061811593	8.00E-05	0.023329414	0.005311298	7.16E-05	0	0.001899138	0.001547354	0.003695305	0.00044368	0.024965901
1.1	10	0.001174416	0.001325169	0.00039079	0.007491645	0	0.000501609	2.35E-05	0.000319321	0.694777789	0.005253971	0.01137218	0.00032361	0.041727709	7.56E-05	0.020661877	0.004593941	7.39E-05	1.16E-06	0.001769263	0.001472151	0.003048365	0.000374112	0.019939377
1.1	15	0.001666816	0.001275472	0.000711169	0.00729905	0	0.000469211	4.07E-05	0.000291746	0.715806847	0.006926347	0.012136343	0.000303813	0.027218136	7.86E-05	0.020265498	0.004408721	8.23E-05	2.89E-06	0.00182145	0.00153855	0.002785337	0.000349611	0.017735471
1.1	20	0.002262402	0.001318408	0.001074431	0.007634356	0	0.000470621	6.05E-05	0.000285233	0.715493932	0.009060778	0.013739138	0.000306893	0.0159532	8.72E-05	0.021300516	0.004542738	9.61E-05	4.70E-06	0.002005661	0.001711426	0.002728397	0.000350407	0.017042751
1.1	25	0.003031559	0.001435881	0.001529844	0.00840967	0	0.000496619	8.57E-05	0.000292724	0.695988174	0.011892739	0.016215863	0.000327357	0.008707307	0.000101207	0.023537983	0.004930736	0.000116333	6.85E-06	0.002317926	0.001989884	0.002811826	0.000369572	0.017407463
1.1	30	0.003806674	0.001528671	0.001998705	0.009051011	0.054472647	0.000511575	0.000111749	0.000292523	0.619482891	0.014754649	0.018537223	0.000342208	0.008713531	0.000114186	0.025370277	0.00523038	0.000135659	8.96E-06	0.002608831	0.002245385	0.002829539	0.000380568	0.017586147
1.1	35	0.004411346	0.00154767	0.002382666	0.009258553	0.152785823	0.000500537	0.000133287	0.000276879	0.501601845	0.016981488	0.019987507	0.000341163	0.021060491	0.000121842	0.025947524	0.005275036	0.000148655	1.06E-05	0.002782243	0.002393617	0.002706015	0.000372268	0.017145118
1.1	40	0.004763523	0.001493533	0.002628731	0.009021898	0.257964229	0.000466324	0.000147331	0.000248773	0.382740443	0.018274032	0.020390831	0.0003252	0.042408388	0.000123289	0.025239808	0.005069851	0.000153685	1.15E-05	0.002818396	0.00241735	0.0024665	0.000346754	0.016206292
1.1	45	0.004937209	0.001408426	0.002771444	0.008585209	0.357683806	0.000424201	0.000155771	0.000217507	0.28498888	0.018920334	0.020191305	0.000303915	0.05459083	0.000121322	0.023939287	0.004760547	0.000153878	1.19E-05	0.002780511	0.00237211	0.002198227	0.000315356	0.015249481
1.1	50	0.005074129	0.001336484	0.002888542	0.008215072	0.452257597	0.00038809	0.00016293	0.000190546	0.214640711	0.019459053	0.019994209	0.000286783	0.041827485	0.000119587	0.022798652	0.004497208	0.000153808	1.21E-05	0.002751287	0.002329805	0.001974124	0.000288397	0.01471345
1.2	0	0.004119982	0.000803655	0.002545623	0.005143466	0.170915306	0.000167266	0.000154389	3.63E-05	0	0.016970922	0.013952242	0.000198921	0.638114735	8.55E-05	0.012514143	0.002545995	0.000114141	5.79E-06	0.002186544	0.001530538	0.000925778	0.000115973	0.020798337
1.2	5	0.004722962	0.000929847	0.002930348	0.005944406	0.078900042	0.000191595	0.000179343	3.81E-05	0.072611165	0.019652164	0.015976705	0.000235486	0.629627074	9.86E-05	0.014240488	0.00292927	0.000131428	6.02E-06	0.002555292	0.001746218	0.001098216	0.000130609	0.026016572
