SubjectID	Day_Period	Aerococcus	Anaerococcus	Ureaplasma	Parvimonas	L. iners	Finegoldia	Staphylococcus	Porphyromonas	Atopobium	Gardnerella	L. crispatus	Peptostreptococcus	Sneathia	Streptococcus	Prevotella	Peptoniphilus	Incertae_Sedis_XI.1	L. gasseri	Corynebacterium	Dialister	L.otu5	L.otu3	Ruminococcaceae.3
1.1	0	0	0.001459041	0	0.0076047	0.722573457	0.000636686	0	0.000453871	0.013985155	0	0.003533073	0.000426434	0.002861872	4.00E-05	0.019267877	0.005126133	0	0	0.001140729	0.000682663	0.00443637	0.000480699	0.036703876
1.1	5	0	0.002100471	0	0.011529924	0.090005465	0.000844406	0	0.000564026	0.40859038	0.001059396	0.013299897	0.000546529	0.099450053	9.68E-05	0.031087804	0.007325051	7.30E-05	0	0.002357022	0.001845528	0.005411902	0.000631837	0.038374668
1.1	10	0.002031531	0.001293825	0.000935437	0.007460582	0	0.000466961	5.29E-05	0.000285703	0.717795351	0.008224337	0.013065644	0.000303605	0.019641963	8.35E-05	0.020783208	0.004463233	9.05E-05	4.02E-06	0.001924843	0.001637309	0.002730357	0.000347764	0.017155313
1.1	15	0.004654601	0.001521205	0.002548802	0.009155002	0.217207559	0.000481581	0.000142728	0.00026067	0.427426736	0.017874343	0.020340236	0.000332692	0.034134176	0.000123345	0.02563452	0.005172116	0.000152556	1.12E-05	0.002817958	0.002420549	0.002568662	0.000358127	0.016604739
1.1	20	0.005218881	0.001241942	0.003024862	0.007723799	0.580950542	0.000340291	0.000171772	0.000154708	0.142202674	0.020091324	0.019644473	0.000266034	0	0.000116981	0.021215437	0.00414809	0.000152963	1.20E-05	0.002713988	0.002262907	0.001689993	0.000252562	0.014547354
1.1	25	0.005200474	0.00106025	0.003113256	0.006731992	0.700819796	0.000252951	0.000180676	9.00E-05	0.050557492	0.020419606	0.018260302	0.000234428	0	0.000108892	0.017782044	0.00346997	0.000145346	1.06E-05	0.002606405	0.002055059	0.001235883	0.000185767	0.016561306
1.2	0	0.006045057	0.001183866	0.00367148	0.007565004	0.70477486	0.000263606	0.000216519	7.79E-05	0	0.024142288	0.02076946	0.00027219	0.012722772	0.000124816	0.019378547	0.003824626	0.000167102	1.09E-05	0.0030612	0.002311123	0.001326599	0.00019062	0.022783419
1.2	5	0.004292845	0.000840504	0.002657614	0.005376955	0.128743779	0.000174033	0.000161846	3.63E-05	0.006427449	0.017764066	0.01452815	0.000210234	0.665872632	8.93E-05	0.012989619	0.00265586	0.000119148	5.78E-06	0.00229787	0.001591002	0.000978596	0.000119762	0.022556478
1.2	10	0.008729706	0.00182812	0.005480156	0.011588961	0	0.00037654	0.000347448	5.83E-05	0.584032203	0.037765017	0.029664811	0.000500926	0	0.000188649	0.026326255	0.005650168	0.000249892	6.67E-06	0.005132088	0.003205709	0.002450676	0.00023814	0.064978936
1.2	15	0.003711643	0.000878195	0.002347777	0.005473377	0.549111698	0.000192281	0.000156661	2.69E-05	0.147019711	0.016948652	0.012853706	0.000261787	0.067212267	8.56E-05	0.01175126	0.002656071	0.000112929	1.34E-07	0.0024766	0.001373719	0.001424515	0.000108413	0.03908641
1.2	20	0.005039742	0.001410483	0.003179311	0.008595303	0.071105448	0.000345095	0.000226745	5.28E-05	0.47015926	0.024553217	0.018007948	0.000450915	0.002426104	0.000127108	0.017673894	0.004176444	0.000169111	0	0.0039351	0.001907897	0.00279396	0.000170261	0.074881088
1.2	25	0.004604406	0.001584399	0.002842006	0.009406972	0	0.000446277	0.000221716	7.97E-05	0.504392618	0.024207662	0.017145814	0.000533866	0.006259907	0.000130251	0.01891892	0.004593324	0.000178372	0	0.004330936	0.001806687	0.003793195	0.000191167	0.096480795
1.3	0	0.002677963	0.001111966	0.001582556	0.006455896	0.665566956	0.000354374	0.00013614	7.10E-05	0	0.01507564	0.010350731	0.000385695	0.04067948	8.44E-05	0.013008228	0.003168449	0.000120917	0	0.002978975	0.001089845	0.003062024	0.000135327	0.073876185
1.3	5	0.003385538	0.001809132	0.001774089	0.010202344	0	0.000676452	0.000182315	0.000151364	0.497236333	0.020841931	0.013664163	0.000639925	0.106771872	0.000124057	0.02120194	0.005038604	0.000194395	0	0.004719254	0.001448042	0.005849586	0.000223409	0.128411813
1.3	10	0.003180024	0.002175435	0.001257485	0.011907363	0	0.00095606	0.000174739	0.000230731	0.467163359	0.021136241	0.013065319	0.000769814	0.130870107	0.000135004	0.02640676	0.005907733	0.000241498	0	0.005533115	0.001413054	0.008150559	0.000271955	0.149380454
1.3	15	0.001973529	0.001633469	0.000371492	0.008672648	0.049452805	0.000844265	0.000100868	0.000213449	0.619110369	0.013437416	0.007689404	0.000566151	0.07125562	9.25E-05	0.021246447	0.004308513	0.000196782	0	0.004067927	0.00086905	0.007025103	0.000205055	0.090377816
1.3	20	0.001899297	0.001666588	0	0.008575474	0.035688982	0.001014656	7.58E-05	0.000262663	0.713321825	0.011865879	0.006145929	0.000551398	0.029989724	8.74E-05	0.023999687	0.004244195	0.000228551	0	0.004091659	0.000752999	0.008184379	0.000207269	0.056710462
1.3	25	0.002011916	0.001554824	0	0.007741396	0.121888392	0.00111957	4.96E-05	0.00029145	0.702937863	0.010059801	0.004632707	0.000474125	0	7.73E-05	0.02556248	0.003788402	0.000253286	2.91E-06	0.003799653	0.000643658	0.008710777	0.000187749	0.025620242
1.3	30	0.002659524	0.00153816	0	0.007389556	0.833855701	0.001320061	3.29E-05	0.000340559	0	0.009811761	0.004048515	0.000409125	0	7.50E-05	0.029728653	0.003535303	0.000308726	1.45E-05	0.003790327	0.00065603	0.009868888	0.000174877	0.017809058
1.5	0	0.004665817	0.001423764	0	0.006382358	0.138967834	0.001666475	1.81E-05	0.000413327	0.659978151	0.01118357	0.004365296	0.000231851	0.013082569	7.42E-05	0.037939478	0.002818599	0.000426823	4.17E-05	0.003695419	0.000840604	0.011611431	0.000129686	0.029666463
1.5	5	0.009267972	0.001811067	0	0.007653888	0	0.002656058	2.62E-05	0.00063405	0.712420738	0.01879043	0.007739809	0.000100396	0.013917382	0.000106818	0.061756302	0.003027215	0.000729461	9.04E-05	0.005033098	0.00151016	0.017643354	0.000117532	0.049932367
