A	B	C	D	E	F
1	0.8603163	0.973570896	0.408778342	0.450245256	0.678134556
1	0.967448304	0.719818941	0.457293353	0.239779881	0.349832135
0	0.401558548	0.486581536	0.835381292	0.33061242	0.603028281
0	0.300924011	0.442745415	0.302560491	0.667779235	0.903310232
1	0.962127998	0.896457951	0.579785654	0.205807122	0.480542032
1	0.659348054	0.657703471	0.023504507	0.015395366	0.823961059
1	0.626209502	0.025635205	0.685681256	0.748905827	0.233146029
0	0.531842518	0.434952574	0.205981527	0.811324789	0.680662745
1	0.516580465	0.036245676	0.044687541	0.551987323	0.011825307
1	0.8821077	0.632223689	0.330117266	0.957333209	0.29866795
0	0.623049946	0.266549428	0.688894747	0.961756594	0.513748578
1	0.594609898	0.635516353	0.051843084	0.426775354	0.293636846
0	0.092021824	0.392440844	0.510589748	0.716512799	0.263029349
1	0.412054045	0.726569592	0.777704864	0.86810387	0.92642639
0	0.635033776	0.181397495	0.460595806	0.363205257	0.025099931
0	0.921658572	0.428844116	0.377837317	0.836470861	0.827976315
1	0.924667978	0.331682281	0.507826071	0.305048316	0.031313352
0	0.04672219	0.143694397	0.056855868	0.676895389	0.688304806
0	0.673350303	0.109136993	0.97678901	0.926112601	0.220786299
0	0.855536832	0.670544938	0.783642472	0.827474852	0.654212591
1	0.373705206	0.849936324	0.667718341	0.677724931	0.025119083
1	0.29862551	0.453621932	0.046194532	0.447013288	0.789356614
1	0.987404028	0.526713031	0.290764273	0.765231867	0.527252799
0	0.522057664	0.885946663	0.864497048	0.776490054	0.244173694
0	0.774092585	0.4751179	0.402481334	0.303653093	0.434622512
0	0.839587352	0.515109099	0.570356956	0.064786057	0.974796317
1	0.991979817	0.324410412	0.605185625	0.91301772	0.95687938
1	0.771982653	0.742080296	0.342196011	0.071710424	0.812365931
1	0.616200133	0.689151884	0.492576439	0.520016433	0.620447281
1	0.080700433	0.844570007	0.195292006	0.680046961	0.507679417
1	0.448694867	0.122255674	0.752713625	0.185540976	0.141447263
1	0.281573187	0.8125454	0.297296518	0.202953869	0.707306835
0	0.757408042	0.528036629	0.106278933	0.874822081	0.396615408
0	0.584698109	0.384688008	0.220037737	0.126937974	0.099212261
0	0.201441078	0.200563074	0.408717416	0.570235777	0.044529324
1	0.434140877	0.514449329	0.348027905	0.993151561	0.149511654
1	0.513883692	0.835531682	0.448399122	0.318657055	0.233810183
1	0.062805989	0.86449517	0.523374411	0.668577219	0.243187724
1	0.981727246	0.834889035	0.252835364	0.216701608	0.360834939
0	0.54160481	0.523861381	0.04204018	0.959814069	0.29429905
1	0.884745178	0.247533934	0.804619119	0.022297288	0.164342053
0	0.390009607	0.982616747	0.397302324	0.249226004	0.146910083
1	0.869795719	0.783129897	0.79656515	0.888290904	0.727639152
0	0.707526803	0.711446943	0.992844642	0.302477747	0.900693715
1	0.022471402	0.269519732	0.450585909	0.611552446	0.093664347
0	0.628991127	0.714794534	0.237639514	0.749953502	0.763416565
1	0.464770859	0.398234113	0.685803963	0.828079064	0.578294335
1	0.164950738	0.880130918	0.812986337	0.642512333	0.698303853
1	0.614080317	0.558192229	0.657898469	0.873619796	0.507217502
1	0.729966708	0.19801942	0.120277898	0.630441392	0.444955538
