A	B	C	X	Y	Z
1	2	1	0.766265895	0.555931251	0.419090648
1	1	0	0.837562708	0.720309597	0.374639875
0	1	1	0.112847435	0.316589589	0.271858581
0	2	0	0.516840144	0.62399123	0.551360676
1	3	0	0.651338802	0.024212459	0.735815078
1	1	0	0.778384405	0.174984817	0.625708294
1	3	1	0.809477498	0.91415938	0.111719779
0	2	1	0.920155826	0.907821806	0.229314132
1	1	0	0.054868251	0.74795448	0.561717894
1	2	1	0.806630176	0.108930963	0.973565315
0	1	0	0.777597374	0.1433794	0.379191319
1	3	0	0.159857946	0.035571229	0.289415235
0	2	0	0.5225521	0.379866556	0.87182353
1	2	0	0.110069161	0.226559105	0.184032942
0	3	1	0.764281813	0.483418306	0.617117484
0	1	0	0.600936448	0.64988492	0.254682362
1	1	1	0.792961756	0.936054893	0.048360829
0	3	0	0.348375609	0.3559336	0.96312172
0	2	1	0.033459165	0.024103478	0.850545401
