#parents N20
#parents N19 N20
#parents N18 N19 N20
#parents N17 N18 N19 N20
#parents N16 N17 N18 N19 N20
#parents N15 N16 N17 N18 N19 N20
#parents N14 N15 N16 N17 N18 N19 N20
#parents N13 N14 N15 N16 N17 N18 N19 N20
#parents N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N2 N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N1 N2 N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#continuous
classes	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25
N1	2	1	2	1	1	1	2	2	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1
N2	11	11	3	7	3	3	7	7	11	11	7	3	11	7	7	3	11	7	3	11	3	11	11	3	3
N3	7	11	7	3	11	7	7	3	7	7	7	7	7	3	3	7	3	11	3	7	7	7	11	7	11
N4	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	2
N5	2	2	1	2	1	2	1	1	1	1	1	2	1	1	2	2	1	1	2	1	1	2	1	1	2
N6	3	6	4	6	4	4	6	5	2	6	6	3	6	6	1	4	5	5	10	3	5	3	5	7	7
N7	2	3	3	9	2	3	3	7	1	5	4	3	4	7	3	2	5	3	10	1	3	2	3	5	4
N8	1	2	7	2	7	3	7	8	7	8	9	2	9	10	1	3	9	7	3	8	9	1	10	10	3
N9	7	7	4	10	8	5	9	2	6	1	2	7	7	4	2	9	7	3	6	9	3	1	6	3	6
N10	7	9	4	9	9	8	8	2	10	1	8	8	8	3	7	10	6	8	7	7	8	9	8	2	7
N11	3	4	4	9	2	3	4	6	1	4	3	3	4	7	2	2	6	3	10	2	3	1	3	5	5
N12	3	5	3	9	2	4	5	7	1	4	4	3	4	8	2	1	5	2	10	2	2	1	2	6	5
N13	2	1	7	4	8	2	8	9	8	8	8	3	10	10	2	3	9	4	4	10	8	1	6	9	3
N14	4	3	5	7	9	9	8	6	7	6	7	9	9	6	4	8	10	9	7	9	10	1	5	6	9
N15	3	4	4	10	2	4	5	7	1	4	4	3	4	8	3	1	5	2	10	2	2	1	2	5	5
N16	3	6	5	5	4	1	5	6	2	8	4	6	6	3	1	1	4	6	5	3	4	5	5	7	10
N17	7	2	6	5	3	5	4	9	10	6	8	4	2	5	8	1	5	3	6	6	7	4	4	7	5
N18	4	2	5	7	9	9	8	7	8	7	7	8	9	7	4	7	10	8	7	10	10	1	5	6	8
N19	2	3	2	7	8	6	8	7	1	4	7	6	4	8	1	4	4	7	5	3	10	1	3	4	6
N20	2	3	2	8	8	6	8	7	1	4	7	6	4	8	1	4	5	7	6	3	10	1	3	4	6
