#parents N1
#parents N2 N1
#parents N3 N2 N1
#parents N4 N3 N2 N1
#parents N5 N4 N3 N2 N1
#parents N6 N5 N4 N3 N2 N1
#parents N7 N6 N5 N4 N3 N2 N1
#parents N8 N7 N6 N5 N4 N3 N2 N1
#parents N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N20 N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#continuous
classes	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25
N1	1	2	1	2	1	1	2	2	1	2	1	2	2	1	1	2	2	2	2	2	2	2	2	2	1
N2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1
N3	3	11	11	11	7	11	7	3	7	7	7	3	3	3	7	3	3	7	3	7	7	7	7	11	11
N4	3	3	3	7	11	11	11	11	3	3	11	11	7	7	7	11	11	3	3	11	7	7	7	11	7
N5	2	1	2	2	2	1	2	1	2	2	1	2	2	1	1	1	1	1	2	2	2	2	2	2	1
N6	7	7	3	10	10	9	8	9	10	8	8	8	7	6	6	6	8	8	10	6	1	4	5	8	4
N7	9	5	4	2	1	3	4	2	10	7	1	2	7	6	6	4	7	7	10	4	4	5	8	3	5
N8	3	7	9	6	4	10	5	5	5	7	7	2	1	9	6	5	5	1	6	3	4	2	8	2	2
N9	2	10	4	4	2	10	4	7	3	4	7	1	3	9	9	9	9	9	3	4	5	3	4	2	6
N10	2	10	2	5	3	6	4	8	2	3	3	2	3	5	4	7	10	10	4	3	1	2	3	2	3
N11	4	10	5	4	1	7	2	7	5	5	6	1	4	10	10	7	6	10	5	2	4	3	4	1	7
N12	8	9	7	4	5	8	2	6	9	5	7	1	5	9	10	6	7	10	5	3	5	4	5	2	8
N13	10	3	7	5	7	6	1	8	1	9	3	9	6	7	4	9	7	7	5	1	2	8	7	5	5
N14	10	1	7	4	6	5	1	8	1	6	3	9	6	7	3	9	7	4	6	1	3	6	5	5	2
N15	10	6	8	6	5	7	1	8	1	6	3	9	5	8	3	9	7	4	8	1	2	5	6	5	5
N16	6	10	5	4	1	7	2	7	5	5	6	5	6	8	10	7	7	10	6	2	4	3	4	2	7
N17	10	4	7	5	6	5	3	6	1	7	2	8	6	7	3	8	7	5	6	4	4	6	6	5	2
N18	10	6	8	6	5	7	1	9	2	7	3	9	6	9	3	10	8	4	8	1	2	5	6	6	5
N19	7	9	6	4	4	6	2	5	8	3	5	1	5	8	8	5	5	10	3	2	5	5	5	1	7
N20	9	9	8	7	5	8	1	10	2	7	3	9	6	10	3	10	10	6	9	1	1	5	6	6	5
