#parents N20
#parents N19 N20
#parents N18 N19 N20
#parents N17 N18 N19 N20
#parents N16 N17 N18 N19 N20
#parents N15 N16 N17 N18 N19 N20
#parents N14 N15 N16 N17 N18 N19 N20
#parents N13 N14 N15 N16 N17 N18 N19 N20
#parents N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N2 N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N1 N2 N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#continuous
classes	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25
N1	1	1	1	1	2	2	2	2	1	2	1	1	1	2	1	2	1	1	2	1	1	1	2	2	1
N2	1	2	2	1	2	2	1	1	1	2	1	1	1	2	2	2	2	1	1	1	1	2	2	2	2
N3	1	2	2	2	2	2	2	1	2	2	1	2	1	2	1	2	2	2	1	2	2	1	1	2	2
N4	1	2	1	2	1	2	2	1	2	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1
N5	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	2	1	1	2	1
N6	9	1	4	4	4	1	3	8	4	5	10	3	10	1	4	1	2	3	4	10	4	4	5	4	6
N7	7	1	5	5	6	2	4	9	3	6	10	3	9	1	4	2	1	3	4	9	5	5	6	4	5
N8	10	4	10	1	6	3	5	4	3	2	7	3	8	7	9	10	5	5	1	9	4	4	4	10	8
N9	5	5	5	5	6	1	1	5	4	7	3	4	4	1	5	6	5	5	4	4	5	10	9	1	5
N10	10	1	9	4	6	1	3	10	4	5	9	4	9	2	10	4	1	4	1	7	4	10	6	9	7
N11	9	6	7	8	8	1	3	7	8	9	8	7	9	1	7	7	7	7	4	9	8	10	10	5	7
N12	10	6	7	6	8	1	3	8	6	9	9	5	9	1	7	7	6	5	2	9	6	10	10	5	8
N13	10	7	8	4	8	7	3	10	4	6	9	4	8	7	8	6	4	4	1	6	3	10	7	8	9
N14	10	6	7	6	8	1	3	9	6	9	10	5	10	1	8	7	6	6	4	10	6	10	10	5	8
N15	10	5	7	5	8	1	2	8	5	7	9	4	9	1	7	6	4	4	1	9	5	10	9	5	8
N16	9	4	6	7	8	1	3	9	5	8	10	5	10	1	6	5	3	6	4	10	7	9	9	5	7
N17	9	3	3	1	1	3	2	7	4	4	10	4	9	3	10	3	3	2	7	2	1	10	10	1	1
N18	9	7	8	8	8	3	2	10	7	7	10	7	9	2	8	5	6	7	1	9	8	9	8	6	8
N19	10	2	7	1	4	6	5	6	4	5	10	3	10	5	10	5	2	1	7	5	1	10	7	5	5
N20	10	4	6	5	7	1	3	7	6	7	10	4	10	1	8	6	4	4	4	9	5	10	9	4	6
