#parents N1
#parents N2 N1
#parents N3 N2 N1
#parents N4 N3 N2 N1
#parents N5 N4 N3 N2 N1
#parents N6 N5 N4 N3 N2 N1
#parents N7 N6 N5 N4 N3 N2 N1
#parents N8 N7 N6 N5 N4 N3 N2 N1
#parents N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N20 N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#continuous
classes	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25
N1	1	2	1	1	2	2	2	2	2	1	1	1	2	2	2	2	2	1	1	2	2	1	1	1	2
N2	7	3	7	7	11	11	7	11	7	7	7	7	7	7	7	7	7	3	7	7	7	7	7	7	11
N3	2	1	1	1	1	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	1	1	1	2
N4	3	3	3	3	7	11	3	11	3	3	3	3	11	7	11	11	11	3	3	11	7	3	3	7	3
N5	2	1	2	2	2	1	2	2	2	1	2	2	1	2	1	2	2	1	2	1	2	2	2	2	2
N6	7	10	10	10	7	1	7	4	8	7	8	9	1	6	1	2	1	10	8	1	7	10	10	7	9
N7	5	1	3	2	1	4	4	1	3	6	7	3	4	6	9	7	10	10	6	9	7	3	5	3	5
N8	6	2	2	2	7	3	3	7	10	7	5	9	8	1	4	7	10	5	2	4	8	10	4	5	1
N9	6	10	4	8	1	1	6	1	6	7	6	8	6	6	8	6	7	10	5	6	4	6	7	7	1
N10	1	9	2	2	10	5	9	10	4	1	2	1	7	9	9	1	6	4	4	6	2	2	1	3	5
N11	4	6	2	1	4	2	4	4	6	6	7	6	6	4	8	6	10	8	4	8	8	5	3	5	1
N12	7	10	7	9	3	1	7	2	7	6	7	8	4	7	5	5	5	10	6	4	6	7	8	7	4
N13	9	5	5	4	2	1	6	2	10	9	6	9	4	1	2	2	1	7	6	1	1	10	7	2	4
N14	6	10	7	8	4	1	7	3	6	6	6	7	4	7	5	4	5	10	6	4	5	6	8	6	3
N15	4	8	5	7	3	1	6	2	5	4	4	6	4	6	4	3	4	10	4	4	4	5	7	4	3
N16	7	10	7	8	4	1	7	4	7	7	7	8	6	7	7	6	7	10	7	6	7	7	8	7	4
N17	7	10	8	8	4	1	8	4	8	7	8	8	6	8	7	7	7	10	8	6	7	8	8	7	7
N18	8	10	8	9	5	1	9	4	9	8	8	9	8	9	8	8	8	10	8	8	8	9	9	8	7
N19	7	10	8	8	4	1	8	4	8	7	8	8	7	8	7	7	7	10	7	7	7	8	8	7	6
N20	5	10	5	6	4	3	5	1	5	5	5	6	5	6	5	5	5	8	5	5	4	5	6	5	4
