@relation weka_disc_train10.arff
@attribute 2 {1 2 }
@attribute 3 {1 2 }
@attribute 4 {1 2 }
@attribute 5 {1 2 }
@attribute 6 {1 2 3 4 5 6 7 8 9 10 }
@attribute 7 {1 2 3 4 5 6 7 8 9 10 }
@attribute 8 {1 2 3 4 5 6 7 8 9 10 }
@attribute 9 {1 2 3 4 5 6 7 8 9 10 }
@attribute 10 {1 2 3 4 5 6 7 8 9 10 }
@attribute 11 {1 3 4 5 6 7 8 9 10 }
@attribute 12 {1 2 3 4 5 6 7 8 9 10 }
@attribute 13 {1 2 3 4 5 6 7 8 9 10 }
@attribute 14 {1 3 4 5 6 7 8 9 10 }
@attribute 15 {1 2 3 4 5 6 7 8 9 10 }
@attribute 16 {1 3 4 5 6 7 8 9 10 }
@attribute 17 {1 2 3 4 6 7 8 9 10 }
@attribute 18 {1 2 3 4 5 6 7 8 9 10 }
@attribute 19 {1 2 3 4 5 6 7 8 9 10 }
@attribute 20 {1 2 3 4 5 6 7 8 9 10 }
@attribute 1 {1 2 }
@data
1,1,1,2,9,7,10,5,10,9,10,10,10,10,9,9,9,10,10,1
2,2,2,2,1,1,4,5,1,6,6,7,6,5,4,3,7,2,4,1
2,2,1,2,4,5,10,5,9,7,7,8,7,7,6,3,8,7,6,1
1,2,2,2,4,5,1,5,4,8,6,4,6,5,7,1,8,1,5,1
2,2,1,1,4,6,6,6,6,8,8,8,8,8,8,1,8,4,7,2
2,2,2,2,1,2,3,1,1,1,1,7,1,1,1,3,3,6,1,2
1,2,2,2,3,4,5,1,3,3,3,3,3,2,3,2,2,5,3,2
1,1,1,2,8,9,4,5,10,7,8,10,9,8,9,7,10,6,7,2
1,2,2,2,4,3,3,4,4,8,6,4,6,5,5,4,7,4,6,1
2,2,1,1,5,6,2,7,5,9,9,6,9,7,8,4,7,5,7,2
1,1,1,2,10,10,7,3,9,8,9,9,10,9,10,10,10,10,10,1
1,2,2,2,3,3,3,4,4,7,5,4,5,4,5,4,7,3,4,1
1,1,1,2,10,9,8,4,9,9,9,8,10,9,10,9,9,10,10,1
2,2,2,2,1,1,7,1,2,1,1,7,1,1,1,3,2,5,1,2
2,1,1,2,4,4,9,5,10,7,7,8,8,7,6,10,8,10,8,1
2,2,2,1,1,2,10,6,4,7,7,6,7,6,5,3,5,5,6,2
2,2,2,1,2,1,5,5,1,7,6,4,6,4,3,3,6,2,4,1
1,2,2,2,3,3,5,5,4,7,5,4,6,4,6,2,7,1,4,1
1,1,2,2,4,4,1,4,1,4,2,1,4,1,4,7,1,7,4,2
1,2,1,2,10,9,9,4,7,9,9,6,10,9,10,2,9,5,9,1
1,2,2,2,4,5,4,5,4,8,6,3,6,5,7,1,8,1,5,1
2,1,1,1,4,5,4,10,10,10,10,10,10,10,9,10,9,10,10,1
2,1,1,1,5,6,4,9,6,10,10,7,10,9,9,10,8,7,9,2
2,2,1,2,4,4,10,1,9,5,5,8,5,5,5,1,6,5,4,2
2,2,1,1,6,5,8,5,7,7,8,9,8,8,7,1,8,5,6,1
