@relation weka_disc_train11.arff
@attribute 2 {3 7 11 }
@attribute 3 {1 2 }
@attribute 4 {3 7 11 }
@attribute 5 {1 2 }
@attribute 6 {1 2 4 5 6 7 8 9 10 }
@attribute 7 {1 2 3 4 5 6 7 8 9 10 }
@attribute 8 {1 2 3 4 5 6 7 8 9 10 }
@attribute 9 {1 2 3 4 5 6 7 8 9 10 }
@attribute 10 {1 2 3 4 5 6 7 8 9 10 }
@attribute 11 {1 2 3 4 5 6 7 8 9 10 }
@attribute 12 {1 2 3 4 5 6 7 8 9 10 }
@attribute 13 {1 2 3 4 5 6 7 8 9 10 }
@attribute 14 {1 2 3 4 5 6 7 8 9 10 }
@attribute 15 {1 2 3 4 5 6 7 8 9 10 }
@attribute 16 {1 2 3 4 5 6 7 8 9 10 }
@attribute 17 {1 2 3 4 5 6 7 8 9 10 }
@attribute 18 {1 2 4 5 6 7 8 9 10 }
@attribute 19 {1 2 4 6 7 8 9 10 }
@attribute 20 {1 2 3 4 5 6 7 8 9 10 }
@attribute 1 {1 2 }
@data
7,2,3,2,7,5,6,6,1,4,7,9,6,4,7,7,8,7,5,1
3,1,3,1,10,1,2,10,9,6,10,5,10,8,10,10,10,10,10,2
7,1,3,2,10,3,2,4,2,2,7,5,7,5,7,8,8,8,5,1
7,1,3,2,10,2,2,8,2,1,9,4,8,7,8,8,9,8,6,1
11,1,7,2,7,1,7,1,10,4,3,2,4,3,4,4,5,4,4,2
11,2,11,1,1,4,3,1,5,2,1,1,1,1,1,1,1,1,3,2
7,2,3,2,7,4,3,6,9,4,7,6,7,6,7,8,9,8,5,2
11,1,11,2,4,1,7,1,10,4,2,2,3,2,4,4,4,4,1,2
7,2,3,2,8,3,10,6,4,6,7,10,6,5,7,8,9,8,5,2
7,2,3,1,7,6,7,7,1,6,6,9,6,4,7,7,8,7,5,1
7,2,3,2,8,7,5,6,2,7,7,6,6,4,7,8,8,8,5,1
7,1,3,2,9,3,9,8,1,6,8,9,7,6,8,8,9,8,6,1
7,2,11,1,1,4,8,6,7,6,4,4,4,4,6,6,8,7,5,2
7,2,7,2,6,6,1,6,9,4,7,1,7,6,7,8,9,8,6,2
7,2,11,1,1,9,4,8,9,8,5,2,5,4,7,7,8,7,5,2
7,2,11,2,2,7,7,6,1,6,5,2,4,3,6,7,8,7,5,2
7,2,11,2,1,10,10,7,6,10,5,1,5,4,7,7,8,7,5,2
3,2,3,1,10,10,5,10,4,8,10,7,10,10,10,10,10,10,8,1
7,2,3,2,8,6,2,5,4,4,6,6,6,4,7,8,8,7,5,1
7,2,11,1,1,9,4,6,6,8,4,1,4,4,6,6,8,7,5,2
7,2,7,2,7,7,8,4,2,8,6,1,5,4,7,7,8,7,4,2
7,1,3,2,10,3,10,6,2,5,7,10,6,5,7,8,9,8,5,1
7,1,3,2,10,5,4,7,1,3,8,7,8,7,8,8,9,8,6,1
7,1,7,2,7,3,5,7,3,5,7,2,6,4,7,7,8,7,5,1
11,2,3,2,9,5,1,1,5,1,4,4,3,3,4,7,7,6,4,2
