@relation weka_disc_train12.arff
@attribute 2 {1 2 }
@attribute 3 {1 2 }
@attribute 4 {1 2 }
@attribute 5 {3 7 11 }
@attribute 6 {1 2 3 4 5 6 7 8 9 10 }
@attribute 7 {1 2 3 4 5 6 7 8 9 10 }
@attribute 8 {1 2 3 4 5 6 7 8 9 10 }
@attribute 9 {1 2 3 4 5 6 7 8 9 10 }
@attribute 10 {1 2 3 4 5 6 7 8 9 10 }
@attribute 11 {1 2 4 5 6 7 8 9 10 }
@attribute 12 {1 2 3 4 6 7 8 9 10 }
@attribute 13 {1 2 3 4 5 6 7 8 9 10 }
@attribute 14 {1 2 4 5 7 8 9 10 }
@attribute 15 {1 2 4 5 7 8 9 10 }
@attribute 16 {1 2 3 4 5 7 8 9 10 }
@attribute 17 {1 4 5 6 7 8 9 10 }
@attribute 18 {1 2 3 4 5 6 7 8 9 10 }
@attribute 19 {1 2 7 8 9 10 }
@attribute 20 {1 4 5 7 8 9 10 }
@attribute 1 {1 2 }
@data
2,2,2,3,7,8,9,9,7,9,10,7,10,10,10,10,6,10,10,1
1,2,1,3,10,8,9,10,5,9,10,1,10,10,10,10,7,10,10,1
2,2,1,11,7,6,6,6,4,5,4,6,5,5,5,6,4,9,8,1
2,1,2,3,10,3,10,10,6,7,9,10,10,10,10,10,5,10,10,1
1,2,1,3,7,5,9,9,10,9,9,3,10,10,10,10,7,10,10,2
1,2,1,3,4,10,8,8,6,9,9,7,9,9,9,9,4,10,9,1
1,1,2,3,8,3,10,9,9,6,9,9,9,9,9,9,7,10,9,1
1,1,2,3,9,4,10,9,8,8,9,7,10,10,10,10,7,10,10,1
1,1,1,11,5,1,2,3,2,6,3,4,4,4,4,5,4,7,5,1
2,2,1,11,9,8,6,6,2,8,7,4,8,8,8,9,1,8,9,2
1,2,2,11,9,7,2,2,2,5,2,7,1,1,1,4,5,1,4,2
2,2,1,7,2,8,8,8,9,9,9,4,9,9,9,9,10,10,9,1
1,2,1,3,4,6,9,9,9,8,9,3,10,10,10,10,9,10,10,1
1,2,2,11,6,7,1,1,4,1,1,6,5,5,4,8,6,8,8,1
1,2,1,3,10,5,9,9,10,8,9,5,10,10,10,10,10,10,10,1
2,2,1,7,9,7,9,9,7,9,10,4,10,10,10,10,9,10,10,1
1,1,1,3,1,3,10,10,8,10,10,3,10,10,10,10,2,10,10,2
1,1,2,3,5,3,9,9,7,7,9,10,9,9,9,9,7,9,9,1
1,2,1,3,4,9,9,10,10,9,10,5,10,10,10,10,10,10,10,1
2,1,1,3,2,1,9,9,7,7,9,3,9,9,9,10,3,10,10,2
1,2,1,11,4,7,7,7,2,8,8,5,9,9,8,9,1,9,9,1
1,1,1,11,8,4,3,4,3,2,1,4,1,1,1,1,6,1,1,2
1,2,1,3,7,9,8,8,7,9,9,5,10,10,10,10,9,10,10,1
1,2,2,11,5,7,1,2,1,5,1,10,1,1,1,4,1,1,4,2
2,2,1,7,6,7,9,9,8,10,10,5,10,10,10,10,3,10,10,2
