@relation weka_disc_train3.arff
@attribute 2 {3 7 11 }
@attribute 3 {1 2 }
@attribute 4 {1 2 }
@attribute 5 {3 7 11 }
@attribute 6 {1 2 3 4 5 6 7 8 9 10 }
@attribute 7 {1 2 3 4 6 7 8 9 10 }
@attribute 8 {1 2 3 4 5 6 7 8 9 10 }
@attribute 9 {1 2 3 4 5 6 7 8 9 10 }
@attribute 10 {1 2 3 4 5 6 7 8 9 10 }
@attribute 11 {1 2 3 4 5 6 7 8 9 10 }
@attribute 12 {1 2 3 4 5 6 7 8 9 10 }
@attribute 13 {1 2 3 4 5 6 7 8 9 10 }
@attribute 14 {1 2 3 4 5 6 7 8 9 10 }
@attribute 15 {1 2 3 4 5 6 7 8 9 10 }
@attribute 16 {1 2 3 4 5 6 7 8 9 10 }
@attribute 17 {1 2 3 4 6 7 8 9 10 }
@attribute 18 {1 2 3 4 5 6 7 8 9 10 }
@attribute 19 {1 2 3 4 5 6 7 8 9 10 }
@attribute 20 {1 2 3 4 5 6 7 8 9 10 }
@attribute 1 {1 2 }
@data
7,1,2,3,8,7,10,7,8,10,10,9,5,8,8,10,8,8,9,1
3,1,1,3,1,7,8,6,9,9,10,6,3,7,4,9,8,5,7,2
7,1,2,11,3,6,1,6,6,4,1,9,3,5,5,1,4,5,4,2
3,1,2,11,1,8,1,10,8,4,2,1,1,6,6,2,6,6,6,2
7,2,1,11,10,8,5,5,9,3,8,4,9,9,6,7,5,6,7,1
7,1,2,7,7,9,6,9,9,7,7,9,7,10,10,7,8,10,10,1
7,1,1,11,3,8,3,8,9,5,8,7,3,7,4,7,6,5,6,2
11,2,1,11,2,3,5,2,5,3,8,4,2,4,3,6,2,2,2,1
11,2,1,7,10,2,6,1,5,8,9,2,10,4,4,9,5,3,5,1
11,2,2,7,3,1,5,1,2,5,5,10,6,1,1,4,4,1,2,2
3,1,1,3,2,7,7,8,7,7,8,7,5,6,4,8,7,4,7,2
7,1,2,11,9,8,2,8,10,6,2,5,9,10,10,3,6,10,9,1
3,1,1,3,4,7,9,7,8,9,10,10,4,7,4,10,9,5,8,2
3,1,2,11,2,10,1,10,10,4,1,4,2,9,8,2,6,9,7,2
3,2,2,11,7,7,2,4,7,1,3,7,5,7,7,2,4,4,5,1
11,2,1,11,1,1,3,1,3,2,8,5,1,2,2,6,1,1,1,2
11,1,2,7,4,2,3,4,3,5,4,1,5,2,2,4,5,1,3,2
7,1,1,11,4,9,3,9,9,4,7,7,5,7,4,7,7,5,7,2
11,1,2,11,2,3,1,3,3,4,2,4,3,2,2,1,4,1,2,2
7,1,2,11,9,9,1,9,9,5,1,4,8,9,10,2,6,10,8,1
7,1,1,7,6,10,7,10,9,7,9,10,7,10,6,9,10,7,10,1
11,1,2,11,1,1,2,2,1,4,2,9,1,1,1,1,3,1,1,2
7,1,2,3,10,8,10,9,9,10,10,7,6,9,10,10,9,10,10,1
7,1,2,11,5,10,2,10,10,5,2,5,4,10,10,3,6,10,9,1
7,1,1,11,8,10,4,8,9,6,8,6,7,10,6,8,8,6,8,1
