@relation weka_disc_train8.arff
@attribute 2 {3 7 11 }
@attribute 3 {1 2 }
@attribute 4 {3 7 11 }
@attribute 5 {1 2 }
@attribute 6 {1 2 3 4 5 6 7 8 9 10 }
@attribute 7 {1 2 3 4 5 6 7 8 9 10 }
@attribute 8 {1 3 4 5 6 7 8 9 10 }
@attribute 9 {1 2 3 4 5 6 7 8 9 10 }
@attribute 10 {1 2 3 4 5 6 7 8 9 10 }
@attribute 11 {1 2 3 4 5 6 7 8 10 }
@attribute 12 {1 2 3 4 5 6 7 8 9 10 }
@attribute 13 {1 2 3 4 5 6 7 8 9 10 }
@attribute 14 {1 2 3 4 5 6 7 9 10 }
@attribute 15 {1 2 3 4 5 6 7 8 9 10 }
@attribute 16 {1 2 3 4 5 6 7 8 9 10 }
@attribute 17 {1 3 4 5 6 7 8 9 10 }
@attribute 18 {1 2 3 4 5 6 7 9 10 }
@attribute 19 {1 2 3 4 5 6 7 8 9 10 }
@attribute 20 {1 2 3 4 5 6 7 8 9 10 }
@attribute 1 {1 2 }
@data
11,1,11,2,3,5,5,1,1,4,4,3,2,3,3,3,4,3,3,2
11,1,3,2,4,4,3,1,10,2,6,6,3,3,3,5,1,10,3,2
3,1,11,2,5,4,9,9,1,8,1,7,7,6,7,8,9,3,10,2
7,2,7,2,4,3,5,3,4,6,7,7,4,6,3,7,2,5,3,1
7,2,7,1,7,9,5,3,5,1,4,5,7,2,6,8,2,7,3,1
11,1,3,2,6,5,1,3,10,1,7,9,6,1,4,4,3,10,3,2
3,1,3,2,4,5,9,8,10,5,4,5,6,3,4,7,3,10,6,2
7,2,11,2,1,4,5,3,2,7,2,3,1,4,2,1,4,3,1,1
3,2,11,2,1,5,9,9,2,2,2,6,3,1,2,3,3,2,3,2
7,2,3,1,10,8,4,4,6,4,6,3,10,8,5,10,5,7,5,1
3,2,11,2,2,2,8,7,2,6,3,7,2,3,4,3,4,4,1,1
3,1,11,1,2,7,6,9,1,4,4,6,3,2,5,4,5,1,4,2
7,2,11,1,6,7,4,2,2,1,1,4,6,1,5,3,5,5,1,1
3,2,7,2,3,4,10,7,5,3,7,6,4,1,2,3,3,6,3,2
11,1,3,2,3,2,6,3,10,6,6,8,4,4,1,6,2,10,3,1
3,1,11,2,5,3,8,6,3,7,7,9,6,8,9,7,10,6,10,2
3,2,11,2,2,2,9,9,2,4,5,1,4,2,1,4,5,2,2,1
7,2,3,1,7,10,4,3,6,7,5,3,7,10,7,9,3,6,5,1
3,2,3,1,8,8,10,6,7,4,2,10,9,6,10,10,6,6,4,1
11,1,11,2,4,3,5,1,2,10,7,1,4,9,7,5,9,2,9,2
11,2,3,1,4,5,3,2,8,4,5,5,4,3,3,6,1,10,4,2
7,2,7,1,5,8,6,2,4,2,1,2,5,1,4,7,1,4,2,1
3,2,11,1,5,6,10,9,1,3,5,6,7,2,3,6,7,4,8,2
3,2,11,2,2,6,10,10,1,2,10,5,5,1,1,4,5,2,4,2
3,2,7,2,1,1,7,8,5,6,8,5,3,4,2,3,3,5,2,1
